job_title,job_description,rating,location,size,industry,sector,founded,salary_avg,skills_extracted
business intelligence analyst i- data insights,"position summary individuals within the business intelligence (bi) analyst i role provide business intelligence, reporting, and data analysis needs for customer service and delivery. they work closely with bi consultants, end users, and it teams to turn data into critical information and knowledge that can be used to make sound business decisions. it is essential that bi analysts build an understanding of the csd organization at a level of detail that enables them to identify and address critical issues. they provide data that is accurate, congruent and reliable, and ensure the information is easily available to users for direct consumption or integration with other systems. bi analysts educate and train business partners and clients to use the data as an analytical tool, displaying the information in new forms and content for analysis and option exploration. bi analysts work with users to determine business requirements, priorities, define key performance indicators (kpi), and develop bi and data warehouse (dw) strategy. they conduct analyses of functional business processes and functional business requirements and participate in the development of business cases in the support of process changes. this includes working with business and development teams to design, and document dashboards, alerts, and reports. this individual is accountable for providing leadership and independent initiatives in facilitating information gathering, structured documentation and presentation of findings to all levels of management. bi analysts understand how data is turned into information and knowledge and how that knowledge supports and enables key business processes. they must have understanding of the business environment and an interest in going beyond the obvious, delving into the source, the definition, philosophy, and foundational roots of a data element to create information. they must work well within a team environment. candidate responsibilities provides design support for the development of business intelligence solutions. works on small to mid-sized and cross-functional it and business intelligence solutions. works on multiple tasks/projects as team member. participates in workstream planning process including inception, technical design, development, testing and delivery of bi solutions. may participate in project management estimation process. works with internal and external customers and it partners to develop and analyze business intelligence needs. provides input to business requirements for the design of solutions. interprets business requirements and determines optimum bi solutions to meet needs. identifies and provides input to new technology opportunities that will have an impact on the enterprise wide bi systems. designs institute-wide views and custom reports. may perform analysis for a wide range of requests using data in different formats and from various platforms. researches business problems and creates models that help analyze these business problems. provides input to the development of information quality metrics. researches tools, frameworks and mechanisms for data analytics. adheres to current standards. provides input to standards, policies and procedures for the form, structure, and attributes of the bi tools and systems. designs and delivers end-user training and training materials. trains users to transform data into action-oriented information and to use correctly. functional skills general knowledge of supported business functions, systems, and transactions familiar with technology system processes, reporting functions, and methodologies works effectively with associates from across the cgm profit center and with business and it partners",3.5,"Appleton, WI",5001 to 10000 employees,Insurance Carriers,Insurance,1860,154.0,"performance indicators, analysis, integration, business intelligence, data analysis, systems, csd, business decisions, kpi, delivery, train, reliable, develop, business, reporting, customer service, analytical, data, business requirements, educate"
data scientist,"what’s significantly better than working on a typical data science team? how about working on a data science team in which you’re directly making an impact in the revolutionary field of artificial intelligence even as an entry level team member? (well, statistically significant that is). pardon the pun, but at spectrum we’re certain that our team is pumped up to work not only with like-minded data-savvy and fun loving professionals, but also to work with cutting edge new tools like our predictive, artificially intelligent proprietary software. so, if your confident that you want to make a direct impact in your next job today, then please keep on reading. responsibilities beyond working with state of the art technology you will have many different fantastic projects to work on as a data scientist at spectrum. here are just a few different responsibilities you can expect off the bat: work with it teams, management and/or data scientists to determine organizational goals mine data from primary and secondary sources clean and prune data to discard irrelevant information analyze and interpret results using standard statistical tools and techniques pinpoint trends, correlations and patterns in complicated data sets identify new opportunities for process improvement provide concise data reports and clear data visualizations for management some characteristics that define you we understand that as a data scientist for spectrum, you have many different professional goals and personal interests. as such here are just a few different things that typically define our team members on the data science team: analytical. in order to solve problems and build innovative new digital marketing campaigns, it is essential that you know how to take an idea and analyze it from all of its angles. patient. as a data scientist, you know that you work with extremely large data sets on a daily basis. as such we are looking for someone who is not only meticulous, but patient enough to sit and sift through that data in a thorough way. creative. beyond just analyzing data sets, you are an explorer and a puzzle solver. pulling insights out of your data and understanding how those insights can better shape our tools is something that you live to do. student. more so than most industries, the field of data science is always changing and evolving. as such, you are always looking to learn new things and gain new skills. business-savvy. beyond the wicked data science skills you bring to the table, we also want you to consider the business implications of our data tools. from the ways our team will use them to how our customers will use them, we always want you to keep the user and the business application in mind. required skills and experience on top of the many intangible skills you bring to the table, there are many skills that can help improve the efficiency and success of your work at spectrum. here are a few of those required skills and experience that you will come in with as a data scientist on our team: a bachelor’s degree/pursuing a bachelor's degree in computer science, mathematics, statistics, information systems, or a related field experience with statistical modeling fundamental knowledge of r and/or sas languages experience with sql databases and database querying languages experience with data mining and data cleaning experience with data visualization and reporting techniques written and verbal expression benefits as a data scientist at spectrum there are a ton of fantastic perks and benefits that come along with your work. here are just a few of the benefits you can expect when joining the spectrum family: comprehensive medical & dental insurance retirement planning & company matching generous pto, including sick days & holidays a state-of-the-art office environment nintendo switch in-office gaming such as fifa, arms, mario kart, and rocket league year-round gym memberships paid continuing education casual dress code flexible scheduling free-lunch-friday company sponsored parties and group activities outside of the office",3.4,"Chicago, IL",51 to 200 employees,Advertising & Marketing,Business Services,1992,154.0,"predictive, management, artificially, it, data-savvy, technology, data, data science, artificial intelligence"
data scientist,"job description oversight is a leading provider of cloud-based artificial intelligence solutions automating and analyzing financial payment transactions to identify fraud, non-compliant purchases, and wasteful spending. oversight analyzes over $2 trillion in expenditures annually at fortune 5000 companies and government agencies worldwide. in this position as a data scientist, you will be working with a team of skilled and motivated data scientists and machine learning engineers designing and building ai solutions to expand our product line. responsibilities our team is at the fore front of building, operating and supporting business systems with machine learning at their core. as a data scientist you will be incorporating machine learning into our products in order to transform how companies find and manage spend risk throughout their organization. you will collaborate with cross functional teams on complex data science problems and be responsible for solution design, data preparation, model building, and model management. ultimately, we’re looking for people who are excited by machine learning, data and technology, love to solve problems, constantly challenge themselves to provide the best user experience, can work well alone, have a wide range of skills and are able and willing to constantly learn. skills technical skills/requirements 3+ years real world experience in a data science or equivalent role extensive experience designing and maintaining a machine learning pipeline – etl, feature engineering, modeling, predicting, explaining, deploying and ongoing diagnostics excellent pattern recognition and predictive modeling skills experience communicating complex models and designing strong experience with data processing and data analytics experience analyzing a wide variety of structured and unstructured data strong communication and data presentation skills experience in both r&d and commercial software product development environment is a plus technologies expertise in python, scikit-learn, and pandas experience with deep learning frameworks (fastai , keras, pytorch etc.) preferred sql linux interested and qualified candidates should submit a resume with salary requirements to recruiter@oversightsystems.com. about oversight the world’s largest companies and government agencies trust oversight to identify enterprise spend risk no matter where it resides in their organization. oversight’s ai-powered platform drives financial transformation by reducing audit effort and eliminating data silos to monitor and analyze 100% of spend transactions with unparalleled accuracy. with full visibility into spend, oversight customers find and prioritize employee-initiated and third-party spend risk that would otherwise go undetected by in-house processes. by identifying process breakdowns and making corrections early, oversight helps optimize budgets, reduce out-of-policy spending by 70% while maximizing audit efficiency and eliminating cash leakage. oversight is an equal opportunity employer. job applicant privacy notice",4.7,"Atlanta, GA",51 to 200 employees,Computer Hardware & Software,Information Technology,2003,154.0,"collaborate, solution design, automating, analyzing, data preparation, machine learning, business systems"
data scientist - risk,"job title: data scientist (risk) location: orlando, florida manager: head of data science about lsq lsq is a technology-driven provider of accounts receivable financing to companies who need working capital but may not be able to obtain sufficient financing from their bank. our focus is to help businesses release the liquidity tied up in their accounts receivable. with financing from lsq, a business can purchase more inventory, fill more orders, and take advantage of new growth opportunities. our technology and data driven approach to providing working capital, along with our accounts receivable management services, allows our clients to driving business success. job overview lsq is searching for a data scientist (risk) to join our growing team of analytics experts. the hire will be responsible for building data driven tools to automate and scale risk decisions decision points include, fraud detection, commercial credit analysis, and invoice payment behavior. the ideal candidate is an experienced researcher and data wrangler who enjoys applying complex theories to solve real world business problems. the data scientist will need to collaborate effectively with both technical (engineers, data experts) and non-technical (business users) colleagues to bring the data to life. responsibilities of data scientist (risk) we have 20+ years of real-world commercial data weve observed businesses and their interactions with other businesses across market cycles, industries, and catastrophic events. build risk tools that optimize for velocity and scale. build risk tools that optimize science & art you will work with risk experts who have been in the trenches (and learned from losses). augment human decisions with machine. lay the foundation for scale. a data science framework for optimal data acquisition, model training and deployment. dont take short-cuts. bring quantitative and statistical rigor to your body of work. lead by example. you are joining a data team at ground-level. building and inserting a data team, into a 20+ year old company (organism) will be hard, but rewarding. qualifications for risk data scientist curiosity, grit, and humility 5+ years of experience of hands-on data science role previous experience of building commercial finance risk tools should be beneficial, but not required bachelor or masters degree in data science, operations research, computer science, industrial engineering, statistics, or another quantitative field a toolkit of modern data science techniques experience with any data science tools/packages: python, r, sas, xgboost, tensorflow, nltk experience with any big data tools: hadoop, spark, kafka, data bricks experience with any reporting tools: tableau server, power bi, ssrs, excel experience with any aws cloud services: ec2, emr, rds, redshift, aurora, s3 experience with any stream-processing systems: storm, spark-streaming position type and expected hours of work: this is a full-time position. days and hours of work are monday through friday, 8:00 a.m. to 5 p.m. occasional evening and weekend work may be required as job duties demand. physical demands: while performing the duties of this job, the employee is regularly required to sit and use hands to finger, handle, or feel. the employee is frequently required to reach with hands and arms and talk or hear. the employee is occasionally required to stand; walk and stoop, kneel, crouch. travel: there will be minimal travel required for this position. lsq is an equal opportunity employer that does not discriminate on the basis of actual or perceived, race, religion, color, sex (including pregnancy and gender identity), sexual orientation, parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service, any other non-merit based factor or any other characteristic protected by applicable federal, state or local laws. our leadership team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment. if youd like more information about your eeo rights as an applicant under the law, please click here http://www1.eeoc.gov/employers/poster.cfm",4.2,"Orlando, FL",51 to 200 employees,Investment Banking & Asset Management,Finance,1996,154.0,"fraud detection, data driven, commercial credit analysis, business, technology, data science"
data scientist-human resources,"lexington, ma, us #job-location.job-location-inline { display: inline; } company: mit lincoln laboratory job summary responsible for the collection, synthesis, and analysis of employee data to meet organizational objectives. gains insight into key human resources related business opportunities and deliverables by applying statistical analysis techniques to examine structured and unstructured data from multiple disparate sources. interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining. uses advanced mathematical, statistical, querying, and reporting methods to develop solutions. develops information tools, algorithms, dashboards, and queries to monitor and improve business performance. successful candidates will have demonstrated: strong interpersonal, team building, communication and presentation skills to effectively communicate and collaborate with all levels of the organization. an ability to maintain strict confidentiality as well as business and professional ethics. strong organizational skills, attention to detail and ability to handle multiple tasks. flexibility and ability to work effectively and meet deadlines in a dynamic, fast-paced environment. ability to perform successfully in a data driven, service-oriented environment and to interpret rules and guidelines flexibly to enhance the business values and the diverse culture. requirements bs required, ms preferred in related disciplines such as computer science, statistics, and/or mathematics with 5-8 years of relevant experience. experience working with sensitive data, predictive analytics and behavioral science based information preferred. must have demonstrated experience with some or all of the following: data and quantitative analysis / decision analytics / predictive modeling / data-driven personalization / kpi dashboards and bpi plans / big data queries and interpretation / data mining and visualization tools / machine learning algorithms / business intelligence (bi) / research, reports and forecasts. in addition, must have experience with some or all of the following: data and computer science proficiency: spss, sas, r, rstats, python, apache spark, microsoft powerbi, matlab, hive, pig, data warehouse (dw, dwh), hadoop, google analytics, data mart projects, data management, machine learning, predictive analytics, prescriptive analytics, streaming analytics, sql, business objects (crystal reports, dashboards, webi), sap bw, sap hana, sap lumera, and many and/or other products is a plus. for benefits information, click http://hrweb.mit.edu/benefits selected candidate will be subject to a pre-employment background investigation and must be able to obtain and maintain a secret level dod security clearance. mit lincoln laboratory is an equal employment opportunity (eeo) employer. all qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, veteran status, disability status, or genetic information; u.s. citizenship is required. requisition id: 28943 nearest major market: boston job segment: database, scientific, scientist, erp, developer, engineering, technology, science",3.8,"Lexington, MA",1001 to 5000 employees,Aerospace & Defense,Aerospace & Defense,1951,154.0,"communication, analysis, communicate, interpersonal, data mining, presentation, algorithms, synthesis, data aggregation, information tools, statistical, business performance, statistical analysis, dashboards, queries, team building, develop, mathematical, collaborate, business, develops, reporting, human resources"
data scientist,"kingfisher systems, inc. specializes in providing a full range of information technology, cybersecurity, intelligence, and support services to the u.s. government. kingfisher systems core competency is technology-enabled services, with a specific focus on national security. since 2005, kingfisher has established itself as a recognized and trusted mission partner whose mission is safeguarding sensitive information, operations, and programs for our federal customers and warfighters. responsibilities: kingfisher systems, inc. is seeking a data scientist to implement effective and innovative solutions meshing disparate data types to discover insights and trends in human capital information. perform work on a data science team to advance hca across the ic. centralize ic data collection and synthesis, including survey data, enabling strategic and predictive analytics to guide business decisions. develop or utilize complex programmatic and quantitative methods to find patterns and relationships in data sets; lead statistical modeling, or other data-driven problem-solving analysis to address novel or abstract business operation questions; and incorporate insights and findings into a range of products. create detailed write-ups of processes used, logic applied, and methodologies used for creation, validation, analysis, and visualizations. write ups shall occur initially, within a week of when process is created, and updated in writing when changes occur. adapt freeware solutions such as r, and modular solutions for maximum flexibility. provide an advanced capability for data analysis of human capital information from disparate data types, promoting visualization and storytelling to discover insights that help guide business decisions. be forward leaning, exploring hca solutions that benefit ic elements individually and collectively. let the data tell the story including what is inconsistent or contradictory and automate data cleansing. integrate data solutions and collection with ic information technology enterprise to enhance connectivity with identify and customize, if necessary, commercial off the shelf (cots) information technology (it) tools for administration and data collection, or to leverage, support, and integrate the process with tools built for the ic and/or its component elements. any tools developed shall be web-based and web-enabled, designed to maximize feedback effectiveness while protecting employee assessment information, and include both structured interview and web-based tools for gathering feedback. assist in the development and maintenance of financial procedural guidance, templates and data formats, for identifying ic-wide workforce numbers, to include government, military, and contractor support. review, assess data, identify data deficiencies and recommend solutions for remediation. support quantitative and analytic efforts for workforce planning, development of financial procedural guidance data formats related to the congressional budget justification book (cbjb) planning displays, and analytic support for budget management and planning. assist with ad hoc data requests from congress, ic elements or as required by the client. coordinate and facilitate community of practice and working group meetings, to include meeting logistics, agenda development and presenter coordination, day-of execution and facilitation, documentation and distribution of meeting minutes and presentations. present or coordinate presentations on relevant topics as directed by the client. required skills: data analysis and modeling on an independent (i.e., without significant guidance or direction) basis. demonstrated experience in developing and applying quantitative methods to find patterns and relationships in large human capital data sets (such as the human capital data call, foreign language data call, fair act data, etc.) using statistical and graphical packages. applied knowledge in the mathematical sciences such as probability, statistics, predictive modeling, computational social sciences; computer programming such as but not limited to python, r, sas, spss; and cots data visualization packages such as but not limited to tableau. experience with oracle database and procedural language/structured query language (pusql). preferred experience: c#.net, asp.net model view controller (mvc), jquery, and cascading style sheets (css), etc. structuring data, natural language processing, database technologies, and machine learning algorithms. ability to translate complex, technical, or analytic findings into an easily understood narrative- tell a story with the data in graphical, verbal, or written form. demonstrated professional experience in developing quantitative financial analysis related to budget formulation and execution. experience in development of financial procedural guidance data formats related to cbjb workforce displays and analytic support, resource management and planning. demonstrated experience in human resource management supporting the federal government. demonstrated experience in the use of programming, design, development, and implementation of on-line and automated survey instruments. years of experience: 10 years of relevant experience in a related field (international relations, computer science, mathematics, statistics, political science etc.). degree requirement: bachelor's or advanced degree in social sciences or related fields related fields may include statistics, mathematics, computer science, physical science, economics, or engineering. minimum clearance requirement: minimum top secret clearance with sci eligibility. applicants selected will be subject to an additional security investigation and thus may have additional eligibility requirements to meet. kingfisher systems, inc. is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, among other things, or status as a qualified individual with a disability.",4.5,"McLean, VA",51 to 200 employees,Federal Agencies,Government,2005,154.0,"survey data, innovative, implement, develop, information technology, mission, predictive analytics, business, intelligence, ic data collection, data, strategic, ic, support services, data science, cybersecurity"
data scientist,"formation provides personalization for the largest enterprise businesses in the world. we work with high volume data streams to deliver tailored experiences and orchestrate physical and digital exchanges into a seamless journey. our data science team is transforming the way people engage across multiple industries. you'll collaborate closely with engineers and share responsibility throughout the product life-cycle. you'll work in small, self-sufficient teams with a common goal: deliver excellent data science solutions anchored in a culture of quality, delivery, and innovation. as a data scientist at formation you're capable of working in an agile data science environment to generate and test hypotheses quickly. you're also passionate about improving, optimizing, and developing new reinforcement learning (rl) strategies to enhance the value of our platform. key responsibilities: apply rl and statistical analysis to complex, real-world problems through massive data sets independently design, test, and productionize rl-based experimentation to refine customer strategies collaborate with colleagues in product and customer success roles, sharing responsibility throughout the product life-cycle ability to explore an unfamiliar and large data sets with big data tools such as hive or spark present methodology and results to external stakeholders and fortune 500 clients skills and experience: minimum 2 years experience as a data scientist, prior software development experience is a plus master's or ph.d. in a relevant technical field (e.g. computer science, mathematics, statistics, physics) prior experience with rl frameworks such as tensorflow or vowpal wabbit, and spark is a plus machine learning knowledge with a focus on contextual bandits, reinforcement learning, recommender systems, knowledge of common data science concepts related to e-commerce (e.g. lifetime value, net incremental revenue, churn) is a plus demonstrated ability to communicate and collaborate with peers demonstrated skills in result-driven problem solving about formation formation is the global leader in developing scalable solutions for individualized offers. we drive business results by building and deepening the relationship between big brands and their customers. we use artificial intelligence (ai) and machine learning (ml) algorithms to constantly analyze an audience and fine-tune offers. our approach enables offers to become smarter and more effective with each customer interaction, resulting in a better experience. formation strongly believes differing perspectives + passionate discourse achieve the greatest outcomes. we give our whole selves and we are building a team we can learn from. we are committed to inclusion and diversity and we are an equal opportunity employer. all applicants will receive consideration without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, disability, or veteran status. also, we are thrilled to be named one of the top 50 startups by linkedin! every member of our team makes formation a special place to work and grow. come join us and see for yourself!",2.8,"San Francisco, CA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,2015,154.0,"collaborate, personalization, innovation, product, data sets, developing, deliver, statistical analysis, reinforcement learning, data science"
data scientist,"overview analysis group is one of the largest international economics consulting firms, with more than 1,000 professionals across 14 offices in north america, europe, and asia. since 1981, we have provided expertise in economics, finance, health care analytics, and strategy to top law firms, fortune global 500 companies, and government agencies worldwide. our internal experts, together with our network of affiliated experts from academia, industry, and government, offer our clients exceptional breadth and depth of expertise. we are currently seeking a data scientist to join our team. the ideal candidate should be passionate about working on cutting edge research and analytical services for fortune 500 companies, global pharma/biotech firms and leaders in industries such as finance, energy and life sciences. the data scientist will be a contributing member to client engagements and have the opportunity to work with our network of world-class experts and thought leaders. job functions and responsibilities the candidate data scientist will help develop, maintain and teach new tools and methodologies related to data science and high performance computing. this position will also help analysis group in maintaining our leadership position in terms of advancing methodology and data analytics. the data scientist will be responsible for staying abreast of new developments in technology relating to data science, to share more broadly with analysis group. key responsibilities for this position will include: working with project teams to address data science/computing challenges identifying opportunities for technology to enhance service offerings acting as a resource and participating in client engagements and research as part of the project team maintaining up-to-date knowledge of computing tools, providing technical training and helping to grow the in-house knowledge base, specifically in a linux environment presenting research at selected conferences examples of activities for the data scientist will include: developing data engineering and machine learning production systems for full stack data science projects using natural language processing methodologies to work with emr data, social media data and other unstructured data optimizing procedures for managing and accessing large databases (e.g., insurance claims, electronic health records, financial transactions) creating interactive analytics portals and data visualizations (e.g., using r/shiny, python/flask, d3) building and maintaining high performance computing (hpc) tools on grid and cloud computing environments developing and reviewing software and packages in r, python and other object oriented languages establishing optimized procedures for repetitive or computationally intensive tasks (c, c++, cuda-c) qualifications strong credentials and experience in database management and data visualization significant experience working within a linux environment required background in statistics/econometrics or biostatistics ideally phd in computer science, mathematics, statistics, economics or other relevant scientific degree with relevant experience. other candidates with at least one year of experience in the field may also be considered excellent written and verbal communication skills project experience with r and/or python familiar with online/cloud computing/storage (e.g., aws) demonstrated experience working on project teams and collaborating with others scientifique des données *l’utilisation du genre masculin sert uniquement à alléger le texte et est utilisé ici en tant que genre neutre survol groupe d’analyse ltée est l’une des plus grandes firmes de services-conseils en économie, comptant plus de 950 professionnels répartis dans 14 bureaux en amérique du nord, en europe et en asie. depuis 1981, nous offrons notre expertise en matière de stratégie, d’économie, de finance et d’analyse dans le domaine des soins de santé aux grands cabinets d’avocats, aux sociétés fortune global 500 et aux agences gouvernementales du monde entier. nos professionnels en poste conjugués à notre réseau de spécialistes affiliés issus d’universités, d’industries spécifiques et d’organismes gouvernementaux procurent à notre clientèle un savoir-faire d’une portée et d’une profondeur exceptionnelles. nous sommes présentement à la recherche d'un scientifique des données (« data scientist ») pour se joindre à notre équipe. le candidat idéal devrait être passionné par la recherche de pointe et les services analytiques pour les entreprises fortune 500, les entreprises pharmaceutiques et biotechnologiques mondiales et les chefs de file dans des secteurs de la finance, l'énergie et les sciences de la vie. le scientifique des données sera un membre contributeur aux mandats des clients et aura l'occasion de travailler avec notre réseau d'experts et de leaders d'opinion de classe mondiale. description du poste et des responsabilités le scientifique des données aidera à développer, maintenir et enseigner de nouveaux outils et méthodologies liés à la science des données (« data science ») et au hpc. ce poste aidera également le groupe d'analyse à maintenir sa position de chef de file en ce qui a trait à l'avancement de la méthodologie et de l'analyse des données. le scientifique des données sera chargé de se tenir au courant des nouveaux développements technologiques liés à la science des données, afin de les partager plus largement avec le groupe d'analyse. les principales responsabilités de ce poste comprendront: - collaborer avec les consultants pour relever les défis de la science des données et de sciences informatiques - agir à titre de ressource et participer aux mandats et à la recherche en tant que membre de l'équipe de projet - maintenir à jour les connaissances sur les outils informatiques, fournir une formation technique et aider à développer la base de connaissances interne, notamment dans un environnement linux - présenter la recherche à des conférences choisies exemples de tâches du scientifique des données : - développement de systèmes de production en ingénierie des données ainsi qu’en apprentissage machine pour des projets de science des données full stack - utiliser des méthodologies nlp pour travailler avec les données médicales électroniques, les données des médias sociaux et d'autres données non structures - optimiser les procédures de gestion et d'accès aux grandes bases de données (ex. réclamations d'assurance, dossiers de santé électroniques, transactions financières) - création de portails d'analyse interactifs et de visualisations de données (par exemple, en utilisant r/shiny, python/flask, d3) - construire et maintenir des outils de calcul de haute performance (hpc). - développement et révision de codes en r, python et autres langages - mise en place de procédures optimisées pour les tâches répétitives ou intensives en calcul (c, c++, cuda-c) qualifications requises - solides références et expérience dans la gestion de bases de données et de la visualisation de données - expérience de travail significative dans un environnement linux requise - expérience antérieure en statistique/économétrie ou bio-statistique - idéalement, être titulaire d'un doctorat en sciences informatiques, en mathématiques, en statistique, en économie ou d'un autre diplôme scientifique pertinent et posséder une expérience pertinente. les candidats ayant au moins un an d'expérience dans le domaine peuvent également être considérés. - excellentes aptitudes de communication écrite et verbale - expérience de projet avec r et/ou python - familiarité avec l'informatique en ligne/info nuagique et le stockage (aws) - expérience de travail démontrée au sein d'équipes de projet et de collaboration avec d'autres personnes ­ equal opportunity employer/protected veterans/individuals with disabilities. please view equal employment opportunity posters provided by ofccp here. the contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. however, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 cfr 60-1.35(c)",3.8,"Boston, MA",1001 to 5000 employees,Consulting,Business Services,1981,103.0,"pharma, research, economics consulting, strategy, life sciences, biotech, finance, energy, analytical services, economics, health care analytics"
data scientist / machine learning expert,"posting title data scientist / machine learning expert 04-feb-2020 job id 288341br job description one global discovery chemistry community working across 7 disease areas at the novartis institutes for biomedical research (nibr) is seeking a highly talented and motivated data scientist to join our global discovery chemistry department in cambridge, ma. the successful candidate will join an energizing and collaborative research organization, working alongside colleagues who are committed to improving human health through the discovery of transformative medicines. we are seeking a unique data scientist with the skills, experience and passion to extract new knowledge and disruptive insights from the large and rich body of data collected by one of the world’s leading pharmaceutical companies. you will be a member of our global computer-aided drug discovery (cadd) group, an interdisciplinary team of expert molecular modelers, cheminformaticians, and data scientists. teamed up with domain experts from biology, chemistry and translational medicine, this is a unique opportunity to develop and apply cutting-edge machine learning technologies to uncover insights to real-world drug discovery problems and innovate paths to new medicines. your responsibilities include: •develop and implement methods for extracting patterns and correlations from both internal and external data sources using machine learning toolkits •develop workflows for conducting comparative analysis among novartis’ diverse data sources as well as generalizing approaches developed in-house or externally. •enable open-source solutions for internal use and implement cutting-edge published scientific methods. •develop customized machine learning solutions including data querying and knowledge extraction. •interact and be part of interdisciplinary project teams to drive effective decision-making by mining and developing predictive models •develop new skills in the area of cheminformatics and drug discovery and leverage those to accelerate development of new machine learning algorithms •keep ahead of scientific literature and interact with internal and external scientists to integrate novel data science technologies minimum requirements education: advanced degree (m.sc. or higher) in data science and machine learning, statistics, computer sciences, cheminformatics, mathematics, computational chemistry, computational biology, bioinformatics, or related field. minimum experience & skills: •in-depth experience with modern and classical machine learning methods •strong statistical foundation with broad knowledge of supervised and unsupervised techniques •programming experience (preferred python, r, c++) preferably in linux and high-performance computing environments •good listener - strong, concise, and consistent written and oral communication •talent for communicating stories through data visualizations •proven ability to collaborate with others •a passion for tackling challenging problems and developing creative solutions •a drive for self-development with a focus on scientific know-how additional qualifications that will help in the role: •demonstrated impact using machine learning libraries, such as scikit-learn, pytorch or similar in a cheminformatics context •hands on experience with data analysis software such as spotfire, r-shiny or similar •working experience with open-source cheminformatics toolkits such as rdkit •working experience with source-code management systems such as git/github/bitbucket •familiar with the foundational concepts in molecular biology, pharmacology or medicine. working knowledge of medicinal chemistry and drug discovery is a plus why consider novartis? 750 million. that’s how many lives our products touch. and while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives? we believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. where you’re given opportunities to explore the power of digital and data. where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges. we are novartis. join us and help us reimagine medicine. job type full time country usa work location cambridge, ma functional area research & development division nibr business unit global discovery chemistry employment type regular company/legal entity nibri eeo statement the novartis group of companies are equal opportunity employers and take pride in maintaining a diverse environment. we do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status. shift work no",3.9,"Cambridge, MA",10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,1996,103.0,"global discovery chemistry, pharmaceutical, collaborative, data, domain ex, machine learning"
data scientist,"cohere health is simplifying healthcare for patients, their doctors, and all those who are important in a patient's healthcare experience. our focus is to enable an efficient, transparent patient journey where patient goals are central to decision-making. we are a mission-driven and fast-growing company obsessed with eliminating the wasteful friction patients and doctors experience, particularly for diagnoses that require expensive procedures or medications. to that end, we build products and services that ensure the appropriate plan of care is understood and expeditiously approved, so that patients and doctors can focus on health, rather than payment or administrative hassles. this is a great opportunity for an outstanding data science professional to go in-house at a series a healthcare technology company and learn what it takes to show the value of our products and services. you will work closely with analytics leadership, product and it to support decision-making, and will dig into a wide range of strategic, product, and operational problems. the work will be fast-paced and project-based, with evolving needs - requiring scrappiness, flexibility, curiosity, and grace under pressure. your work will enable cohere to make the right investments in a critical stage for our company. this role offers the potential to grow at cohere in data science, or potentially move to other functions as well. you will contribute to healthcare analytics from the economic and quality perspective, help build an a company, as well as wear many hats. our team values empowerment and is committed to developing our talent. what you will do: collaborate cross-functionally to design appropriate data-use capabilities across a wide breadth of analytical needs use your expertise in healthcare data to develop effective models to improve our product partner with engineering to deliver seamless modeling for product implementation what you will have: 5-7 years model building and analytical experience at company where using ml/ ai were critical to the mission, preferably a healthcare company or allied health organization direct experience partnering with engineering to deliver the right analytical models to product clear understanding of model building, model maintenance and the measures that optimize models for product use excellent communication and collaboration skills proficient in r, sql,python and other common analytic/ data tools strong knowledge of emr data, sdoh, claims, nlp use and other important healthcare related data sources proficient in current modeling approaches in machine learning and ai such as decision trees and med2vec, patient2vec and other innovative approaches to analyzing data master's degree in stem, public health, finance, economics, or other related field we can't wait to learn more about you and meet you at cohere health!",5.0,"Boston, MA",1 to 50 employees,IT Services,Information Technology,2019,103.0,"analytics, products, services, healthcare, medications, technology, decision-making, health, procedures"
